,base,yng,mid,old
2010-10-22,7721440,5,3,10
2010-10-23,7766344,6,3,9
2010-10-24,7917888,6,0,5
2010-10-25,7427568,5,3,15
2010-10-26,7825633,9,3,14
2010-10-27,7610677,4,3,19
2010-10-28,7670884,6,4,7
2010-10-29,7609156,26,1,5
2010-10-30,7770516,10,3,12
2010-10-31,7956829,5,3,5
2010-11-01,7483555,5,1,17
2010-11-02,7540454,17,3,20
2010-11-03,8037575,7,1,19
2010-11-04,7099804,10,2,16
2010-11-05,7747972,6,3,11
2010-11-06,8198447,0,3,6
2010-11-07,8556115,10,7,19
2010-11-08,7675807,9,2,18
2010-11-09,7897882,3,5,9
2010-11-10,8080476,7,4,18
2010-11-11,8103955,3,4,12
2010-11-12,8003931,2,1,18
2010-11-13,8063317,7,5,11
2010-11-14,8395832,9,1,21
2010-11-15,8054279,4,3,17
2010-11-16,8057027,2,0,14
2010-11-17,7937199,6,3,15
2010-11-18,8161547,10,1,32
2010-11-19,8112860,1,4,21
2010-11-20,8116539,6,1,16
2010-11-21,8324297,7,4,14
2010-11-22,8084667,9,6,20
2010-11-23,8822626,16,0,21
2010-11-24,8208180,6,2,28
2010-11-25,8308678,3,3,8
2010-11-26,8209154,4,2,16
2010-11-27,8270847,11,1,8
2010-11-28,8653306,6,2,8
2010-11-29,8114013,2,5,6
2010-11-30,8361706,17,1,15
2010-12-01,8434562,3,4,22
2010-12-02,8105895,6,6,11
2010-12-03,8590843,6,2,18
2010-12-04,8372715,6,0,15
2010-12-05,8281056,7,1,17
2010-12-06,8058653,4,2,16
2010-12-07,8176016,3,1,12
2010-12-08,8433210,8,3,18
2010-12-09,8347173,6,2,22
2010-12-10,8352948,5,1,16
2010-12-11,8078380,3,1,24
2010-12-12,8556560,8,0,7
2010-12-13,8396869,6,3,22
2010-12-14,8460518,12,3,11
2010-12-15,8857269,3,4,23
2010-12-16,8391610,6,1,13
2010-12-17,8283676,7,5,14
2010-12-18,8195300,5,1,59
2010-12-19,8421168,6,1,10
2010-12-20,8225464,2,0,17
2010-12-21,8442938,4,2,15
2010-12-22,8413671,6,0,22
2010-12-23,8711098,4,2,10
2010-12-24,9647180,6,2,21
2010-12-25,8665027,10,1,8
2010-12-26,8647330,0,1,9
2010-12-27,8218852,16,2,14
2010-12-28,8721113,12,2,26
2010-12-29,8790707,7,1,13
2010-12-30,8759937,3,2,11
2010-12-31,11081295,12,1,13
2011-01-01,9931344,6,0,8
2011-01-02,8074880,7,2,12
2011-01-03,8394877,5,2,10
2011-01-04,8483950,14,1,17
2011-01-05,8795106,6,3,9
2011-01-06,9068025,18,0,12
2011-01-07,9228364,14,2,83
2011-01-08,8934800,7,2,33
2011-01-09,9302384,10,5,15
2011-01-10,9427641,17,6,21
2011-01-11,8949026,7,0,24
2011-01-12,8845411,13,9,18
2011-01-13,8879469,5,2,20
2011-01-14,9392703,5,0,20
2011-01-15,9157802,5,2,28
2011-01-16,10028357,9,1,25
2011-01-17,9561872,13,0,19
2011-01-18,9143728,12,3,15
2011-01-19,9298092,8,1,15
2011-01-20,9468852,10,2,29
2011-01-21,9728490,5,1,17
2011-01-22,9728484,19,2,15
2011-01-23,10009443,11,1,17
2011-01-24,9544587,6,4,18
2011-01-25,9951794,7,3,38
2011-01-26,10482937,3,0,36
2011-01-27,9733425,4,1,41
2011-01-28,9657750,4,2,26
2011-01-29,9820344,6,6,12
2011-01-30,11727309,14,2,57
2011-01-31,9559764,10,3,86
2011-02-01,9597483,13,5,388
2011-02-02,9656847,8,3,113
2011-02-03,10095571,7,4,26
2011-02-04,9976391,13,3,25
2011-02-05,10090615,12,0,30
2011-02-06,10554677,2,1,36
2011-02-07,10062461,6,5,36
2011-02-08,10166751,12,3,21
2011-02-09,10232757,7,2,31
2011-02-10,9961649,16,1,30
2011-02-11,11116402,8,3,15
2011-02-12,10469822,4,3,17
2011-02-13,10833213,9,1,9
2011-02-14,11574264,11,3,15
2011-02-15,10372209,13,0,26
2011-02-16,10208650,15,2,28
2011-02-17,10365432,7,1,38
2011-02-18,10716289,7,5,20
2011-02-19,10532203,7,2,25
2011-02-20,10839394,8,2,10
2011-02-21,10282631,13,1,17
2011-02-22,10588792,11,2,27
2011-02-23,10485028,10,2,24
2011-02-24,10501466,11,2,20
2011-02-25,10728077,19,3,28
2011-02-26,9464222,1,2,15
2011-02-27,10525671,10,3,16
2011-02-28,9811386,5,3,18
2011-03-01,9926388,8,2,30
2011-03-02,9969484,9,2,22
2011-03-03,10623024,9,0,22
2011-03-04,10084983,14,2,38
2011-03-05,10529881,13,1,20
2011-03-06,10721431,8,3,18
2011-03-07,10484440,17,2,24
2011-03-08,10425325,4,0,18
2011-03-09,10872568,15,2,34
2011-03-10,10525119,12,4,23
2011-03-11,17243055,9,1,16
2011-03-12,14660086,10,0,16
2011-03-13,12295411,8,0,17
2011-03-14,13883218,11,5,26
2011-03-15,13996813,5,4,22
2011-03-16,13454378,7,3,30
2011-03-17,12518525,5,4,27
2011-03-18,12047061,4,4,18
2011-03-19,11933123,11,4,12
2011-03-20,11539919,3,5,13
2011-03-21,11728796,5,1,18
2011-03-22,11538307,3,2,17
2011-03-23,12275002,5,4,24
2011-03-24,11593642,13,3,14
2011-03-25,11495018,11,1,21
2011-03-26,10975129,7,0,13
2011-03-27,11441963,8,1,19
